fold,era,arm,label,model,kind,n_train,n_test,ic_train,ic_oos,capture_all,capture_q5,q5_frac,auc_train,auc_oos,base_rate_test,topdec_tp_rate,topdec_frac
5,1,base5y,fwd4,ridge,real,30931,2783,0.10399298413241649,-0.05337873385258996,-0.06954324992917627,-0.19376346458959087,0.18289615522817104,,,,,
5,1,base5y,fwd4,ridge,shuffle,30931,2783,0.01380797279875293,0.01786906196805644,-0.05452863880453312,0.015022464207852282,0.22529644268774704,,,,,
5,1,base5y,fwd4,hgb,real,30931,2783,0.5557172749674145,0.017296433410461148,0.00782557855518368,0.06622116829052058,0.17499101688825008,,,,,
5,1,base5y,fwd4,hgb,shuffle,30931,2783,0.5543751936352311,0.01563419920503592,-0.017218096645423495,0.03647683052314417,0.1541501976284585,,,,,
5,1,base5y,fwd8,ridge,real,30931,2783,0.10888625899905065,-0.0245222655395808,-0.03409544393490422,-0.10980018765717588,0.19906575637800933,,,,,
5,1,base5y,fwd8,ridge,shuffle,30931,2783,0.018568327999022784,0.04041858704183447,-0.05023947207397465,0.06354331457658018,0.2130794107078692,,,,,
5,1,base5y,fwd8,hgb,real,30931,2783,0.5994126450559409,0.013718033815408665,-0.03937467364693476,0.10472990108535772,0.169601149838304,,,,,
5,1,base5y,fwd8,hgb,shuffle,30931,2783,0.5515589244933712,0.006655745583488595,0.01780404352200565,-0.14207895969607579,0.15019762845849802,,,,,
5,1,base5y,br_canon_long,logit,real,30931,2783,,,,,,0.5670536091548413,0.4908287947180914,0.4362199065756378,0.40794223826714804,0.09953287818900466
5,1,base5y,br_canon_long,logit,shuffle,30931,2783,,,,,,0.5148104684777092,0.5209138550352117,0.4362199065756378,0.4652567975830816,0.11893639956881064
5,1,base5y,br_canon_long,hgb,real,30931,2783,,,,,,0.8701694310374303,0.5188490344745759,0.4362199065756378,0.518348623853211,0.07833273445921667
5,1,base5y,br_canon_long,hgb,shuffle,30931,2783,,,,,,0.8845981508858666,0.5002693244209525,0.4362199065756378,0.4689265536723164,0.063600431189364
5,1,base5y,br_canon_short,logit,real,30931,2783,,,,,,0.5646947570100131,0.49335800997260815,0.5422206252245778,0.5230769230769231,0.09342436219906576
5,1,base5y,br_canon_short,logit,shuffle,30931,2783,,,,,,0.5138341067800396,0.52327583426703,0.5422206252245778,0.5524193548387096,0.08911246855910887
5,1,base5y,br_canon_short,hgb,real,30931,2783,,,,,,0.8663702200854505,0.5172512803867533,0.5422206252245778,0.5296803652968036,0.07869205892921308
5,1,base5y,br_canon_short,hgb,shuffle,30931,2783,,,,,,0.8862281865965769,0.5027891260495634,0.5422206252245778,0.5364238410596026,0.05425799496945742
